City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Amurzet,RU,47.6967,131.0981,68.38,78,66,3.27,broken clouds
80,Viedma,AR,-40.8135,-62.9967,52.75,42,9,9.19,clear sky
81,Teguise,ES,29.0605,-13.564,82.62,45,0,23.02,clear sky
82,Lebu,CL,-37.6167,-73.65,53.31,63,0,14.83,clear sky
83,Cabo San Lucas,MX,22.8909,-109.9124,98.51,69,26,3.0,scattered clouds
84,San Carlos,VE,9.6612,-68.5827,87.37,55,78,5.17,broken clouds
85,Camacupa,AO,-12.0167,17.4833,62.26,34,26,2.53,scattered clouds
86,Santa Maria,BR,-29.6842,-53.8069,54.7,44,20,21.85,few clouds
87,Tecoanapa,MX,16.5167,-98.75,86.56,66,7,9.53,clear sky
88,Namatanai,PG,-3.6667,152.4333,77.95,86,100,6.29,overcast clouds
89,Harrisonburg,US,38.4496,-78.8689,86.23,48,1,0.0,clear sky
90,Toyooka,JP,35.5333,134.8333,73.31,95,82,5.61,broken clouds
91,Veinticinco De Mayo,AR,-35.4323,-60.1727,53.06,55,6,5.99,clear sky
92,Puerto Del Rosario,ES,28.5004,-13.8627,85.68,61,0,11.5,clear sky
93,Victoria,HK,22.2855,114.1577,82.36,95,100,1.01,heavy intensity rain
94,Grindavik,IS,63.8424,-22.4338,48.67,81,75,5.75,broken clouds
95,Dingle,PH,10.9995,122.6711,77.54,86,99,8.79,light rain
96,Krasnoselkup,RU,65.7,82.4667,45.95,71,1,6.76,clear sky
97,Bowen,AU,-20.0167,148.2333,50.22,70,99,7.58,overcast clouds
98,Cockburn Town,TC,21.4612,-71.1419,81.72,82,100,19.82,overcast clouds
99,Sawtell,AU,-30.3833,153.1,44.19,94,40,5.75,scattered clouds
100,Raudeberg,NO,61.9875,5.1352,55.0,76,85,3.67,overcast clouds
101,Henties Bay,NA,-22.116,14.2845,70.41,45,0,10.58,clear sky
102,Piacabucu,BR,-10.4056,-36.4344,78.22,76,13,7.92,few clouds
103,Bredasdorp,ZA,-34.5322,20.0403,52.92,76,1,2.3,clear sky
104,Longyearbyen,SJ,78.2186,15.6401,40.84,93,90,6.91,light rain
105,Severo-Kurilsk,RU,50.6789,156.125,51.15,96,81,11.97,broken clouds
106,Nyurba,RU,63.2842,118.3319,63.27,90,100,7.27,overcast clouds
107,Broome,US,42.2506,-75.833,69.37,96,90,3.0,light rain
108,Port Alfred,ZA,-33.5906,26.891,61.21,65,0,12.91,clear sky
109,Lavrentiya,RU,65.5833,-171.0,46.13,93,96,9.22,overcast clouds
110,Guerrero Negro,MX,27.9769,-114.0611,83.08,49,2,10.71,clear sky
111,Umm Lajj,SA,25.0213,37.2685,89.82,48,20,5.35,few clouds
112,Manokwari,ID,-0.8667,134.0833,75.45,90,100,10.09,light rain
113,Cherskiy,RU,68.75,161.3,46.92,60,100,8.3,overcast clouds
114,Tignere,CM,7.3667,12.65,65.1,95,100,1.14,light rain
115,Qaanaaq,GL,77.484,-69.3632,37.58,91,97,2.98,overcast clouds
116,Vaini,TO,-21.2,-175.2,73.56,94,20,5.75,few clouds
117,Trinidad,BO,-14.8333,-64.9,67.98,60,75,17.27,broken clouds
118,Hermanus,ZA,-34.4187,19.2345,58.87,66,13,2.35,few clouds
119,Deputatskiy,RU,69.3,139.9,45.91,59,100,2.13,overcast clouds
120,Waingapu,ID,-9.6567,120.2641,73.02,85,34,7.18,scattered clouds
121,Bonavista,CA,48.6499,-53.1147,78.8,74,100,9.13,overcast clouds
122,Poronaysk,RU,49.2167,143.1167,61.93,75,98,3.65,overcast clouds
123,Hauterive,FR,46.0901,3.4459,79.56,76,0,7.67,clear sky
124,Wanaka,NZ,-44.7,169.15,39.11,99,100,1.01,overcast clouds
125,Sinnamary,GF,5.3833,-52.95,83.89,69,85,8.16,overcast clouds
126,Hadejia,NG,12.4498,10.0444,79.7,63,100,14.23,light rain
127,Fortuna,US,40.5982,-124.1573,67.93,74,20,3.0,few clouds
128,Saldanha,ZA,-33.0117,17.9442,57.25,61,7,6.06,clear sky
129,Labrea,BR,-7.2586,-64.7981,98.71,27,0,6.11,clear sky
130,Copiapo,CL,-27.3667,-70.3333,56.89,28,100,3.47,overcast clouds
131,Fairview,US,40.8126,-73.999,85.77,64,75,6.91,broken clouds
132,Cap-Aux-Meules,CA,47.3821,-61.8597,73.45,60,75,8.05,broken clouds
133,Avarua,CK,-21.2078,-159.775,77.05,78,75,6.91,broken clouds
134,Seydi,TM,39.4816,62.9137,87.24,15,0,11.32,clear sky
135,Esmeraldas,BR,-19.7625,-44.3139,87.91,28,67,8.25,broken clouds
136,Betioky,MG,-23.7167,44.3833,68.81,60,29,4.81,scattered clouds
