City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Cape Town,ZA,2021-07-17 17:36:49,-33.9258,18.4232,59.09,87,40,1.99
68,Groningen,NL,2021-07-17 17:37:42,53.25,6.75,72.03,68,0,12.66
69,Punta Arenas,CL,2021-07-17 17:40:59,-53.15,-70.9167,37.51,93,75,5.75
70,Taos,US,2021-07-17 17:37:31,36.4072,-105.5731,86.56,41,1,1.99
71,Carora,VE,2021-07-17 17:41:00,10.1755,-70.0827,98.47,18,20,22.62
72,Vila Velha,BR,2021-07-17 17:40:28,-20.3297,-40.2925,82.35,61,20,14.97
73,Yiyang,CN,2021-07-17 17:36:10,28.5892,112.3283,77.52,90,72,1.36
74,Provideniya,RU,2021-07-17 17:41:00,64.3833,-173.3,45.93,97,100,6.46
75,Codrington,AU,2021-07-17 17:41:00,-38.2667,141.9667,49.8,79,79,15.43
76,Sorland,NO,2021-07-17 17:41:01,67.667,12.6934,53.67,84,97,17.49
77,Batagay-Alyta,RU,2021-07-17 17:41:01,67.8006,130.4114,38.77,90,5,3.06
78,Savannah Bight,HN,2021-07-17 17:41:01,16.45,-85.85,87.85,76,2,14.52
79,Mataura,NZ,2021-07-17 17:41:01,-46.1927,168.8643,45.48,99,100,2.1
80,Jamestown,US,2021-07-17 17:41:02,42.097,-79.2353,74.52,93,90,1.99
81,Marawi,PH,2021-07-17 17:41:02,7.9986,124.2928,69.66,93,89,6.89
82,Cabo San Lucas,MX,2021-07-17 17:41:02,22.8909,-109.9124,97.52,68,21,1.99
83,San Patricio,US,2021-07-17 17:41:03,28.017,-97.5169,92.01,52,46,13.29
84,East London,ZA,2021-07-17 17:41:03,-33.0153,27.9116,54.54,76,0,6.91
85,Filadelfia,US,2021-07-17 17:39:20,39.9523,-75.1638,96.71,55,40,8.01
86,Bluff,NZ,2021-07-17 17:41:04,-46.6,168.3333,45.81,88,100,14.09
87,Phon,TH,2021-07-17 17:41:04,15.816,102.5998,81.97,78,36,9.44
88,Eureka,US,2021-07-17 17:41:04,40.8021,-124.1637,63.19,82,3,4.0
89,Gat,IL,2021-07-17 17:36:05,31.61,34.7642,87.4,44,0,6.53
90,Morro Bay,US,2021-07-17 17:41:05,35.3658,-120.8499,81.59,60,7,4.0
91,Busselton,AU,2021-07-17 17:41:05,-33.65,115.3333,47.08,76,22,7.29
92,Maniitsoq,GL,2021-07-17 17:41:05,65.4167,-52.9,45.21,97,100,5.01
93,Norman Wells,CA,2021-07-17 17:41:06,65.282,-126.8329,64.44,42,20,10.36
94,Pangkalanbuun,ID,2021-07-17 17:41:06,-2.6833,111.6167,73.56,96,85,2.53
95,Mayo,US,2021-07-17 17:41:06,38.8876,-76.5119,97.74,72,0,8.99
96,Klaksvik,FO,2021-07-17 17:41:07,62.2266,-6.589,52.72,91,30,17.02
97,San Cristobal,VE,2021-07-17 17:41:07,7.7669,-72.225,82.58,56,59,7.45
98,Vao,NC,2021-07-17 17:41:07,-22.6667,167.4833,72.14,82,0,6.49
99,Ostrovnoy,RU,2021-07-17 17:41:07,68.0531,39.5131,57.09,79,80,4.21
100,Hilo,US,2021-07-17 17:40:31,19.7297,-155.09,84.27,94,90,5.75
101,Torbay,CA,2021-07-17 17:41:08,47.6666,-52.7314,78.89,79,75,17.27
102,Isangel,VU,2021-07-17 17:41:08,-19.55,169.2667,75.24,91,15,4.05
103,Prince Rupert,CA,2021-07-17 17:36:27,54.3161,-130.3201,60.49,82,75,6.91
104,Malinovskiy,RU,2021-07-17 17:41:09,61.1953,62.8397,65.07,57,91,2.55
105,Hermanus,ZA,2021-07-17 17:41:09,-34.4187,19.2345,56.89,90,4,7.0
106,Mananjary,MG,2021-07-17 17:41:09,-21.2167,48.3333,68.23,88,98,5.17
107,Samarai,PG,2021-07-17 17:36:32,-10.6167,150.6667,79.16,85,100,14.54
108,Chesma,RU,2021-07-17 17:41:10,53.8111,60.6533,65.23,70,67,3.42
109,Uyemskiy,RU,2021-07-17 17:41:10,64.4743,40.8524,68.05,60,0,4.47
110,Sarab,IR,2021-07-17 17:41:10,38.6066,44.9883,83.86,28,14,2.62
111,Butaritari,KI,2021-07-17 17:41:11,3.0707,172.7902,82.6,78,25,18.3
112,Olga,RU,2021-07-17 17:41:11,43.7444,135.2892,72.61,86,44,4.09
113,Zhanaozen,KZ,2021-07-17 17:41:11,43.3,52.8,87.85,21,0,9.98
114,Cedar City,US,2021-07-17 17:41:12,37.6775,-113.0619,86.4,29,1,0.0
115,Buriti Bravo,BR,2021-07-17 17:41:12,-5.8372,-43.8336,97.54,22,4,4.68
116,Nikolskoye,RU,2021-07-17 17:41:12,59.7035,30.7861,78.69,55,0,4.12
117,Ribeira Grande,PT,2021-07-17 17:41:12,38.5167,-28.7,72.0,78,20,11.5
118,Atuona,PF,2021-07-17 17:41:13,-9.8,-139.0333,77.77,78,64,26.53
119,Trofors,NO,2021-07-17 17:41:13,65.5333,13.4063,54.75,93,100,8.68
120,Geraldton,AU,2021-07-17 17:41:13,-28.7667,114.6,54.01,87,40,10.36
121,Carutapera,BR,2021-07-17 17:41:14,-1.195,-46.02,84.87,63,36,9.51
122,Columbus,US,2021-07-17 17:41:01,39.9612,-82.9988,78.87,85,90,11.5
123,Soe,ID,2021-07-17 17:41:14,-9.8607,124.284,60.42,80,28,3.11
124,Kourou,GF,2021-07-17 17:41:14,5.1552,-52.6478,87.85,63,43,8.55
125,Makaha,US,2021-07-17 17:41:15,21.4694,-158.2175,78.71,78,90,0.0
126,Puerto Madryn,AR,2021-07-17 17:41:15,-42.7692,-65.0385,46.4,63,96,27.6
127,Dicabisagan,PH,2021-07-17 17:41:15,17.0818,122.4157,79.05,89,100,4.41
128,Karpushikha,RU,2021-07-17 17:41:15,57.5017,59.8956,58.19,83,5,1.72
129,Antofagasta,CL,2021-07-17 17:41:16,-23.65,-70.4,66.22,54,80,5.35
130,Zhoucheng,CN,2021-07-17 17:41:16,35.9122,116.3117,72.55,87,24,5.12
131,Bethel,US,2021-07-17 17:41:16,41.3712,-73.414,91.89,70,75,1.99
132,Walvis Bay,NA,2021-07-17 17:41:17,-22.9575,14.5053,69.1,38,1,14.54
133,Ratnagiri,IN,2021-07-17 17:41:17,16.9833,73.3,80.71,86,100,13.51
134,Plouzane,FR,2021-07-17 17:41:17,48.3833,-4.6167,78.89,60,0,17.27
135,Miri,MY,2021-07-17 17:41:18,4.4148,114.0089,77.14,94,40,2.3
136,Bathsheba,BB,2021-07-17 17:41:18,13.2167,-59.5167,84.81,79,40,18.41
137,Mae Chan,TH,2021-07-17 17:41:18,20.1467,99.8526,78.46,95,98,1.81
138,Rocha,UY,2021-07-17 17:41:18,-34.4833,-54.3333,52.29,56,36,16.08
