City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
232,Itarema,BR,84.02,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
234,Westport,US,86.45,scattered clouds,41.1415,-73.3579,The Westport Inn
243,Sorong,ID,75.56,moderate rain,-0.8833,131.25,waigo splash hotel
244,Roma,US,75.85,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
245,Alexandria,EG,82.36,clear sky,31.2156,29.9553,Royal Crown Hotel
248,Sao Joao Da Barra,BR,84.29,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
249,Hami,CN,78.4,clear sky,42.8,93.45,Laoyutang Resort
252,Alpena,US,84.34,clear sky,45.0617,-83.4327,Days Inn by Wyndham Alpena
255,Torbay,CA,80.89,few clouds,47.6666,-52.7314,Gallows Cove
258,Tual,ID,79.52,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
261,Boyabat,TR,76.42,clear sky,41.4689,34.7667,Kolaz Palas Otel
263,Kijang,KR,78.53,light rain,35.2442,129.2139,Samyang Beach Villa
265,Sechura,PE,75.2,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
266,Dangtu,CN,80.65,clear sky,31.5723,118.4928,City Bianjie Hotel Maanshan Dangtu
270,Roswell,US,85.23,overcast clouds,34.0232,-84.3616,La Quinta Inn & Suites by Wyndham Atlanta Roswell
274,Carlisle,US,76.01,overcast clouds,40.2015,-77.1889,Fairfield Inn & Suites by Marriott Carlisle
275,Flagstaff,US,83.86,clear sky,35.1981,-111.6513,Drury Inn & Suites Flagstaff
282,Zhezkazgan,KZ,76.5,few clouds,47.8043,67.7144,Hotel Zumrat
294,Muroto,JP,77.9,overcast clouds,33.2833,134.15,Oota Ryokan
296,Kudahuvadhoo,MV,82.06,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
297,Faanui,PF,77.22,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
298,Shaunavon,CA,78.58,scattered clouds,49.6501,-108.4181,Bear's Den Lodge
300,Filadelfia,US,81.14,overcast clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
304,Vung Tau,VN,80.49,overcast clouds,10.346,107.0843,Green hotel
306,Kavaratti,IN,82.53,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
309,Goderich,CA,83.03,clear sky,43.7501,-81.7165,Harmony Inn
314,Marsh Harbour,BS,83.68,broken clouds,26.5412,-77.0636,Abaco Beach Resort
315,Bengkulu,ID,75.6,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
320,Paracuru,BR,84.22,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
322,Mayo,US,85.39,broken clouds,38.8876,-76.5119,Resorts Resource Group International
323,Traverse City,US,83.14,broken clouds,44.7631,-85.6206,Bayshore Resort
325,Bathsheba,BB,88.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
328,Gouyave,GD,84.97,few clouds,12.1646,-61.7296,Rumboat Retreat
331,Lumby,CA,84.18,few clouds,50.2498,-118.969,Twin Creeks Motel
334,Ribeira Brava,PT,78.71,clear sky,32.65,-17.0667,Hotel do Campo
335,Port Blair,IN,80.4,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
342,Korla,CN,77.07,overcast clouds,41.7597,86.1469,Gulisitan Hotel
343,Kohlu,PK,87.78,broken clouds,29.8962,69.252,B &R Rest House
352,Saint John,CA,77.38,moderate rain,45.2727,-66.0677,Delta Hotels by Marriott Saint John
353,Monrovia,LR,76.77,light rain,6.3005,-10.7969,Sunset Inn
355,Dauphin,CA,86.14,clear sky,51.1494,-100.0502,Canway Inn & Suites
358,Mangrol,IN,83.3,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
360,Ajdabiya,LY,78.58,clear sky,30.7554,20.2263,Almadina Hotel
361,Gushikawa,JP,81.63,scattered clouds,26.3544,127.8686,Kirari Guest House
362,Cururupu,BR,82.98,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
368,Kavieng,PG,80.96,moderate rain,-2.5744,150.7967,Nusa Island Retreat
369,Hobyo,SO,76.91,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
373,Yinchuan,CN,81.34,clear sky,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
375,Erenhot,CN,76.75,clear sky,43.6475,111.9767,Erenhot Rurouni Youth Hostel
382,Kahului,US,79.97,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
384,Bay Roberts,CA,81.66,broken clouds,47.5999,-53.2648,Stonewall Inn
390,Wanning,CN,79.59,overcast clouds,18.8003,110.3967,Paradise Hotel
393,Tabuk,PH,75.47,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
395,Roanoke,US,88.05,overcast clouds,37.271,-79.9414,"The Hotel Roanoke & Conference Center, Curio Collection by Hilton"
396,Arenys De Mar,ES,85.42,clear sky,41.5819,2.5494,Hotel Mitus
398,Sanandaj,IR,82.36,scattered clouds,35.3144,46.9923,Sanandaj Tourist Hotel
400,Lalmohan,BD,83.61,light rain,22.3384,90.7419,Sundorbon courier service
403,Cadillac,US,81.79,clear sky,44.2519,-85.4012,"Holiday Inn Express & Suites Cadillac, an IHG Hotel"
406,Komsomolskiy,UZ,75.92,overcast clouds,40.4272,71.7189,Ikathouse
409,Mikhaylovka,RU,78.6,clear sky,50.06,43.2379,5 Komnat
416,Pontian Kecil,MY,82.53,overcast clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
417,Najran,SA,81.25,clear sky,17.4924,44.1277,محمد هادي ال فطيح
423,Saint Anthony,US,88.75,scattered clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
424,Red Wing,US,87.57,clear sky,44.5625,-92.5338,"St. James Hotel, 1875 - A Historic Hotel of America"
426,Statesboro,US,88.11,clear sky,32.4488,-81.7832,"Holiday Inn Statesboro-University Area, an IHG Hotel"
